market_ticker,event_ticker,series_ticker,market_type,title,yes_sub_title,no_sub_title,result,result_binary,status,open_time,close_time,expected_expiration_time,volume,open_interest,tipoff_ts_used,tipoff_source,candle_ts,price_at_start_yes_bid,price_at_start_yes_ask,price_at_start_mid,price_at_start_last,n_candles_in_window
KXNBAGAME-26MAR25TORLAC-LAC,KXNBAGAME-26MAR25TORLAC,KXNBAGAME,game_winner,Toronto at Los Angeles C Winner?,Los Angeles C,Los Angeles C,yes,1,finalized,2026-03-23T19:06:00Z,2026-03-26T05:03:52Z,2026-03-26T05:30:00Z,1598937.00,0.00,1774494000,expected_expiration-150m,1774494000,0.76,0.77,0.765,0.77,111
KXNBAGAME-26MAR27ATLBOS-ATL,KXNBAGAME-26MAR27ATLBOS,KXNBAGAME,game_winner,Atlanta at Boston Winner?,Atlanta,Atlanta,no,0,finalized,2026-03-25T16:06:00Z,2026-03-28T02:02:40Z,2026-03-28T02:30:00Z,2580211.00,0.00,1774656000,expected_expiration-150m,1774656000,0.56,0.57,0.565,0.57,111
KXNBAGAME-26MAR25MIACLE-CLE,KXNBAGAME-26MAR25MIACLE,KXNBAGAME,game_winner,Miami at Cleveland Winner?,Cleveland,Cleveland,no,0,finalized,2026-03-23T16:06:00Z,2026-03-26T02:10:58Z,2026-03-26T02:30:00Z,3024224.00,0.00,1774483200,expected_expiration-150m,1774483200,0.49,0.5,0.495,0.5,111
KXNBAGAME-26MAR25SASMEM-MEM,KXNBAGAME-26MAR25SASMEM,KXNBAGAME,game_winner,San Antonio at Memphis Winner?,Memphis,Memphis,no,0,finalized,2026-03-23T16:06:00Z,2026-03-26T02:30:46Z,2026-03-26T03:00:00Z,1955590.00,0.00,1774485000,expected_expiration-150m,1774485000,0.01,0.02,0.015,0.02,111
KXNBAGAME-26MAR25MILPOR-POR,KXNBAGAME-26MAR25MILPOR,KXNBAGAME,game_winner,Milwaukee at Portland Winner?,Portland,Portland,yes,1,finalized,2026-03-23T16:06:00Z,2026-03-26T04:40:49Z,2026-03-26T05:00:00Z,497388.00,0.00,1774492200,expected_expiration-150m,1774492200,0.92,0.93,0.925,0.93,100
KXNBAGAME-26MAR25MILPOR-MIL,KXNBAGAME-26MAR25MILPOR,KXNBAGAME,game_winner,Milwaukee at Portland Winner?,Milwaukee,Milwaukee,no,0,finalized,2026-03-23T16:06:00Z,2026-03-26T04:40:49Z,2026-03-26T05:00:00Z,1004087.00,0.00,1774492200,expected_expiration-150m,1774492200,0.07,0.08,0.07500000000000001,0.07,110
KXNBAGAME-26MAR25HOUMIN-MIN,KXNBAGAME-26MAR25HOUMIN,KXNBAGAME,game_winner,Houston at Minnesota Winner?,Minnesota,Minnesota,yes,1,finalized,2026-03-23T16:06:00Z,2026-03-26T04:40:48Z,2026-03-26T04:30:00Z,8758028.00,0.00,1774490400,expected_expiration-150m,1774490400,0.51,0.54,0.525,0.55,111
KXNBAGAME-26MAR25HOUMIN-HOU,KXNBAGAME-26MAR25HOUMIN,KXNBAGAME,game_winner,Houston at Minnesota Winner?,Houston,Houston,no,0,finalized,2026-03-23T16:06:00Z,2026-03-26T04:40:48Z,2026-03-26T04:30:00Z,12153676.00,0.00,1774490400,expected_expiration-150m,1774490400,0.47,0.49,0.48,0.48,111
KXNBAGAME-26MAR25OKCBOS-OKC,KXNBAGAME-26MAR25OKCBOS,KXNBAGAME,game_winner,Oklahoma City at Boston Winner?,Oklahoma City,Oklahoma City,no,0,finalized,2026-03-23T16:06:00Z,2026-03-26T02:14:07Z,2026-03-26T02:30:00Z,6439347.00,0.00,1774483200,expected_expiration-150m,1774483200,0.69,0.7,0.695,0.7,111
KXNBAGAME-26MAR25MIACLE-MIA,KXNBAGAME-26MAR25MIACLE,KXNBAGAME,game_winner,Miami at Cleveland Winner?,Miami,Miami,yes,1,finalized,2026-03-23T16:06:00Z,2026-03-26T02:10:58Z,2026-03-26T02:30:00Z,1617642.00,0.00,1774483200,expected_expiration-150m,1774483200,0.5,0.51,0.505,0.5,111
